time,n0v,n1v
29.8,-54.7086,-69.6838
29.9,-54.6975,-69.6906
30,-54.6893,-69.6948
30.1,-54.6817,-69.7014
30.2,-54.6724,-69.7072
30.3,-54.6628,-69.715
30.4,-54.649,-69.7203
30.5,-54.6417,-69.7243
30.6,-54.6304,-69.7299
30.7,-54.6231,-69.7305
30.8,-54.6127,-69.7339
30.9,-54.6021,-69.7399
31,-54.5936,-69.7438
31.1,-54.5824,-69.7491
31.2,-54.5717,-69.7569
31.3,-54.5593,-69.7609
31.4,-54.5525,-69.7667
31.5,-54.5436,-69.7712
31.6,-54.531,-69.7757
31.7,-54.5229,-69.7831
31.8,-54.5172,-69.785
31.9,-54.5122,-69.7927
32,-54.4996,-69.7965
32.1,-54.4917,-69.8018
32.2,-54.481,-69.8062
32.3,-54.472,-69.8116
32.4,-54.4625,-69.8161
32.5,-54.4547,-69.8234
32.6,-54.4478,-69.8277
32.7,-54.4387,-69.8325
32.8,-54.4275,-69.8379
32.9,-54.4216,-69.8423
33,-54.4149,-69.8451
33.1,-54.4074,-69.8489
33.2,-54.3969,-69.8574
33.3,-54.3916,-69.8641
33.4,-54.3889,-69.8706
33.5,-54.3791,-69.8772
33.6,-54.3728,-69.8825
33.7,-54.3673,-69.884
33.8,-54.3605,-69.8882
33.9,-54.3512,-69.8928
34,-54.3438,-69.895
34.1,-54.3412,-69.8984
34.2,-54.3376,-69.905
34.3,-54.3321,-69.9088
34.4,-54.3278,-69.9125
34.5,-54.3225,-69.9213
34.6,-54.3178,-69.9223
34.7,-54.3115,-69.9234
34.8,-54.3033,-69.927
34.9,-54.2937,-69.9348
35,-54.2888,-69.936
35.1,-54.2799,-69.934
35.2,-54.2721,-69.938
35.3,-54.265,-69.9443
35.4,-54.2569,-69.9463
35.5,-54.2499,-69.9491
35.6,-54.2454,-69.9525
35.7,-54.2368,-69.9528
35.8,-54.227,-69.9551
35.9,-54.2215,-69.9563
36,-54.2172,-69.9597
36.1,-54.209,-69.9647
36.2,-54.2013,-69.9691
36.3,-54.1931,-69.9747
36.4,-54.1885,-69.9761
36.5,-54.185,-69.9816
36.6,-54.1765,-69.9855
36.7,-54.1715,-69.9888
36.8,-54.1659,-69.9948
36.9,-54.1598,-69.9999
37,-54.1575,-70.0027
37.1,-54.1468,-70.0036
37.2,-54.1463,-70.0079
37.3,-54.1409,-70.0097
37.4,-54.1396,-70.0133
37.5,-54.1314,-70.0158
37.6,-54.1207,-70.0158
37.7,-54.1137,-70.019
37.8,-54.1058,-70.0235
37.9,-54.1017,-70.0256
38,-54.0963,-70.0298
38.1,-54.0893,-70.0319
38.2,-54.0823,-70.0367
38.3,-54.0785,-70.0398
38.4,-54.0752,-70.0436
38.5,-54.0731,-70.0458
38.6,-54.0706,-70.0444
38.7,-54.0696,-70.0459
38.8,-54.0626,-70.0464
38.9,-54.0613,-70.0474
39,-54.059,-70.0475
39.1,-54.0583,-70.049
39.2,-54.0548,-70.0493
39.3,-54.0492,-70.0498
39.4,-54.0483,-70.0522
39.5,-54.0442,-70.054
39.6,-54.0408,-70.0544
39.7,-54.0337,-70.0553
39.8,-54.0281,-70.0548
39.9,-54.0289,-70.0557
40,-54.0239,-70.0562
40.1,-54.0196,-70.0564
40.2,-54.0152,-70.0569
40.3,-54.0117,-70.054
40.4,-54.006,-70.0573
40.5,-53.9979,-70.0625
40.6,-53.9935,-70.0688
40.7,-53.9908,-70.0698
40.8,-53.9859,-70.0718
40.9,-53.9816,-70.0716
41,-53.983,-70.0673
41.1,-53.9784,-70.0727
41.2,-53.9797,-70.0749
41.3,-53.9747,-70.076
41.4,-53.9729,-70.0778
41.5,-53.967,-70.0832
41.6,-53.9632,-70.0856
41.7,-53.9611,-70.0854
41.8,-53.9579,-70.0872
41.9,-53.9571,-70.0845
42,-53.9514,-70.0827
42.1,-53.9488,-70.0801
42.2,-53.9494,-70.0785
42.3,-53.9495,-70.0759
42.4,-53.9471,-70.0757
42.5,-53.9451,-70.0745
42.6,-53.9418,-70.0729
42.7,-53.9367,-70.073
42.8,-53.9363,-70.0736
42.9,-53.9372,-70.0784
43,-53.934,-70.0781
43.1,-53.9388,-70.0774
43.2,-53.9392,-70.0748
43.3,-53.9372,-70.0726
43.4,-53.9323,-70.0732
43.5,-53.9242,-70.0727
43.6,-53.9208,-70.077
43.7,-53.917,-70.0769
43.8,-53.9208,-70.0772
43.9,-53.9157,-70.0806
44,-53.9168,-70.0781
44.1,-53.916,-70.079
44.2,-53.9154,-70.0787
44.3,-53.9132,-70.0775
44.4,-53.9116,-70.0786
44.5,-53.9104,-70.0817
44.6,-53.9093,-70.0841
44.7,-53.9071,-70.0816
44.8,-53.9099,-70.0841
44.9,-53.9084,-70.079
45,-53.9098,-70.077
45.1,-53.9107,-70.0757
45.2,-53.9104,-70.0717
45.3,-53.9109,-70.0686
45.4,-53.9087,-70.0694
45.5,-53.9081,-70.0666
45.6,-53.9065,-70.0607
45.7,-53.9039,-70.0605
45.8,-53.9045,-70.0605
45.9,-53.9071,-70.0599
46,-53.9067,-70.06
46.1,-53.9085,-70.0548
46.2,-53.9044,-70.0504
46.3,-53.9038,-70.045
46.4,-53.9014,-70.0423
46.5,-53.9,-70.0429
46.6,-53.9023,-70.0393
46.7,-53.9044,-70.0329
46.8,-53.9024,-70.0309
46.9,-53.9022,-70.0286
47,-53.9051,-70.0289
47.1,-53.9093,-70.03
47.2,-53.9142,-70.0256
47.3,-53.9172,-70.0233
47.4,-53.9158,-70.02
47.5,-53.9162,-70.0124
47.6,-53.9129,-70.0064
47.7,-53.9125,-70.0013
47.8,-53.9118,-69.9954
