time,n0v,n1v
59.5,-73.8307,-72.7973
59.6,-73.7249,-72.9849
59.7,-73.6235,-73.0935
59.8,-73.5233,-73.1408
59.9,-73.4268,-73.1517
60,-73.3326,-73.1417
60.1,-73.241,-73.1004
60.2,-73.1472,-73.0474
60.3,-73.0537,-72.9822
60.4,-72.9601,-72.9142
60.5,-72.8679,-72.844
60.6,-72.7829,-72.7697
60.7,-72.6966,-72.6852
60.8,-72.6132,-72.6042
60.9,-72.53,-72.5249
61,-72.4499,-72.4477
61.1,-72.3663,-72.3676
61.2,-72.2866,-72.2902
61.3,-72.2091,-72.2102
61.4,-72.1313,-72.1363
61.5,-72.0547,-72.0642
61.6,-71.975,-71.9829
61.7,-71.8995,-71.9085
61.8,-71.8201,-71.8346
61.9,-71.7474,-71.7669
62,-71.6747,-71.6938
62.1,-71.6016,-71.6223
62.2,-71.5293,-71.5549
62.3,-71.4568,-71.4869
62.4,-71.3822,-71.419
62.5,-71.3128,-71.3499
62.6,-71.2406,-71.2842
62.7,-71.1721,-71.2159
62.8,-71.1031,-71.1478
62.9,-71.0328,-71.0882
63,-70.9628,-71.0268
63.1,-70.8922,-70.967
63.2,-70.824,-70.9058
63.3,-70.7563,-70.8444
63.4,-70.6887,-70.7833
63.5,-70.6227,-70.7249
63.6,-70.5567,-70.6671
63.7,-70.4901,-70.6097
63.8,-70.4222,-70.5528
63.9,-70.358,-70.4972
64,-70.2933,-70.4421
64.1,-70.2282,-70.3872
64.2,-70.1611,-70.3332
64.3,-70.097,-70.2796
64.4,-70.0325,-70.2239
64.5,-69.9694,-70.1741
64.6,-69.9056,-70.1246
64.7,-69.8421,-70.0705
64.8,-69.7786,-70.0229
64.9,-69.7159,-69.9737
65,-69.6524,-69.9245
65.1,-69.5895,-69.8781
65.2,-69.5279,-69.8322
65.3,-69.4663,-69.7874
65.4,-69.4056,-69.7394
65.5,-69.3451,-69.6912
65.6,-69.2837,-69.6502
65.7,-69.2219,-69.6063
65.8,-69.1618,-69.5596
65.9,-69.1014,-69.5137
66,-69.0399,-69.4703
66.1,-68.9804,-69.4302
66.2,-68.9188,-69.389
66.3,-68.8594,-69.3452
66.4,-68.7986,-69.3008
66.5,-68.7397,-69.2584
66.6,-68.6792,-69.2162
66.7,-68.6199,-69.1762
66.8,-68.5609,-69.1402
66.9,-68.5022,-69.0996
67,-68.4414,-69.0595
67.1,-68.3819,-69.023
67.2,-68.3231,-68.9851
