time,n0v,n1v
30.3,-54.8708,-69.715
30.4,-54.8377,-69.7203
30.5,-54.8109,-69.7243
30.6,-54.7802,-69.7299
30.7,-54.7534,-69.7305
30.8,-54.7235,-69.7339
30.9,-54.6934,-69.7399
31,-54.6654,-69.7438
31.1,-54.6347,-69.7491
31.2,-54.6045,-69.7569
31.3,-54.5726,-69.7609
31.4,-54.5463,-69.7667
31.5,-54.5178,-69.7712
31.6,-54.4856,-69.7757
31.7,-54.4579,-69.7831
31.8,-54.4327,-69.785
31.9,-54.4081,-69.7927
32,-54.3757,-69.7965
32.1,-54.3482,-69.8018
32.2,-54.3177,-69.8062
32.3,-54.289,-69.8116
32.4,-54.2597,-69.8161
32.5,-54.2322,-69.8234
32.6,-54.2055,-69.8277
32.7,-54.1765,-69.8325
32.8,-54.1454,-69.8379
32.9,-54.1196,-69.8423
33,-54.093,-69.8451
33.1,-54.0655,-69.8489
33.2,-54.0349,-69.8574
33.3,-54.0096,-69.8641
33.4,-53.9869,-69.8706
33.5,-53.9569,-69.8772
33.6,-53.9305,-69.8825
33.7,-53.9048,-69.884
33.8,-53.8778,-69.8882
33.9,-53.848,-69.8928
34,-53.8202,-69.895
34.1,-53.7974,-69.8984
34.2,-53.7735,-69.905
34.3,-53.7476,-69.9088
34.4,-53.7228,-69.9125
34.5,-53.6969,-69.9213
34.6,-53.6716,-69.9223
34.7,-53.6447,-69.9234
34.8,-53.6155,-69.927
34.9,-53.5849,-69.9348
35,-53.5591,-69.936
35.1,-53.529,-69.934
35.2,-53.5001,-69.938
35.3,-53.4717,-69.9443
35.4,-53.4423,-69.9463
35.5,-53.4139,-69.9491
35.6,-53.3881,-69.9525
35.7,-53.3578,-69.9528
35.8,-53.3261,-69.9551
35.9,-53.299,-69.9563
36,-53.2731,-69.9597
36.1,-53.2428,-69.9647
36.2,-53.2129,-69.9691
36.3,-53.1825,-69.9747
36.4,-53.1558,-69.9761
36.5,-53.1302,-69.9816
36.6,-53.0991,-69.9855
36.7,-53.0717,-69.9888
36.8,-53.0433,-69.9948
36.9,-53.0145,-69.9999
37,-52.9896,-70.0027
37.1,-52.9554,-70.0036
37.2,-52.9323,-70.0079
37.3,-52.9036,-70.0097
37.4,-52.8794,-70.0133
37.5,-52.8473,-70.0158
37.6,-52.8123,-70.0158
37.7,-52.7813,-70.019
37.8,-52.7491,-70.0235
37.9,-52.721,-70.0256
38,-52.6912,-70.0298
38.1,-52.6594,-70.0319
38.2,-52.6275,-70.0367
38.3,-52.5988,-70.0398
38.4,-52.5708,-70.0436
38.5,-52.5437,-70.0458
38.6,-52.5161,-70.0444
38.7,-52.49,-70.0459
38.8,-52.457,-70.0464
38.9,-52.4301,-70.0474
39,-52.402,-70.0475
39.1,-52.3756,-70.049
39.2,-52.3457,-70.0493
39.3,-52.3132,-70.0498
39.4,-52.2859,-70.0522
39.5,-52.2546,-70.054
39.6,-52.2239,-70.0544
39.7,-52.1887,-70.0553
39.8,-52.1549,-70.0548
39.9,-52.1284,-70.0557
40,-52.0947,-70.0562
40.1,-52.0616,-70.0564
40.2,-52.028,-70.0569
40.3,-51.9953,-70.054
40.4,-51.9596,-70.0573
40.5,-51.9207,-70.0625
40.6,-51.8858,-70.0688
40.7,-51.8526,-70.0698
40.8,-51.8164,-70.0718
40.9,-51.7804,-70.0716
41,-51.751,-70.0673
41.1,-51.7139,-70.0727
41.2,-51.6835,-70.0749
41.3,-51.6452,-70.076
41.4,-51.6104,-70.0778
41.5,-51.57,-70.0832
41.6,-51.5318,-70.0856
41.7,-51.4951,-70.0854
41.8,-51.4566,-70.0872
41.9,-51.4206,-70.0845
42,-51.3779,-70.0827
42.1,-51.3385,-70.0801
42.2,-51.3025,-70.0785
42.3,-51.2655,-70.0759
42.4,-51.2246,-70.0757
42.5,-51.1836,-70.0745
42.6,-51.1405,-70.0729
42.7,-51.0944,-70.073
42.8,-51.0535,-70.0736
42.9,-51.0135,-70.0784
43,-50.9675,-70.0781
43.1,-50.9311,-70.0774
43.2,-50.8883,-70.0748
43.3,-50.8416,-70.0726
43.4,-50.7905,-70.0732
43.5,-50.7344,-70.0727
43.6,-50.6832,-70.077
43.7,-50.6305,-70.0769
43.8,-50.5864,-70.0772
